method,dataset_id,output_tree_present,parsed_ok,output_taxa_count,expected_taxa_count,all_expected_taxa_covered,exact_taxon_set_match,duplicate_leaf_labels_found,empty_leaf_labels_found,analysis_ready,success,error_message
Average NJ,50,True,True,55,55,True,True,False,False,True,True,
Average NJ,51,True,True,55,55,True,True,False,False,True,True,
Average NJ,52,True,True,55,55,True,True,False,False,True,True,
Average NJ,53,True,True,55,55,True,True,False,False,True,True,
Average NJ,54,True,True,55,55,True,True,False,False,True,True,
Average NJ,55,True,True,55,55,True,True,False,False,True,True,
Average NJ,56,True,True,55,55,True,True,False,False,True,True,
Average NJ,57,True,True,55,55,True,True,False,False,True,True,
Average NJ,58,True,True,55,55,True,True,False,False,True,True,
Average NJ,59,True,True,55,55,True,True,False,False,True,True,
Average NJ,60,True,True,55,55,True,True,False,False,True,True,
Average NJ,61,True,True,55,55,True,True,False,False,True,True,
Average NJ,62,True,True,55,55,True,True,False,False,True,True,
Average NJ,63,True,True,55,55,True,True,False,False,True,True,
Average NJ,64,True,True,55,55,True,True,False,False,True,True,
Average NJ,65,True,True,55,55,True,True,False,False,True,True,
Average NJ,66,True,True,55,55,True,True,False,False,True,True,
Average NJ,67,True,True,55,55,True,True,False,False,True,True,
Average NJ,68,True,True,55,55,True,True,False,False,True,True,
Average NJ,69,True,True,55,55,True,True,False,False,True,True,
Average NJ,70,True,True,55,55,True,True,False,False,True,True,
Average NJ,71,True,True,55,55,True,True,False,False,True,True,
Average NJ,72,True,True,55,55,True,True,False,False,True,True,
Average NJ,73,True,True,55,55,True,True,False,False,True,True,
Average NJ,74,True,True,55,55,True,True,False,False,True,True,
Average NJ,75,True,True,55,55,True,True,False,False,True,True,
Average NJ,76,True,True,55,55,True,True,False,False,True,True,
Average NJ,77,True,True,55,55,True,True,False,False,True,True,
Average NJ,78,True,True,55,55,True,True,False,False,True,True,
Average NJ,79,True,True,55,55,True,True,False,False,True,True,
Average NJ,80,True,True,55,55,True,True,False,False,True,True,
Average NJ,81,True,True,55,55,True,True,False,False,True,True,
Average NJ,82,True,True,55,55,True,True,False,False,True,True,
Average NJ,83,True,True,55,55,True,True,False,False,True,True,
Average NJ,84,True,True,55,55,True,True,False,False,True,True,
Average NJ,85,True,True,55,55,True,True,False,False,True,True,
Average NJ,86,True,True,55,55,True,True,False,False,True,True,
Average NJ,87,True,True,55,55,True,True,False,False,True,True,
Average NJ,88,True,True,55,55,True,True,False,False,True,True,
Average NJ,89,True,True,55,55,True,True,False,False,True,True,
Average NJ,90,True,True,55,55,True,True,False,False,True,True,
Average NJ,91,True,True,55,55,True,True,False,False,True,True,
Average NJ,92,True,True,55,55,True,True,False,False,True,True,
Average NJ,93,True,True,55,55,True,True,False,False,True,True,
Average NJ,94,True,True,55,55,True,True,False,False,True,True,
Average NJ,95,True,True,55,55,True,True,False,False,True,True,
Average NJ,96,True,True,55,55,True,True,False,False,True,True,
Average NJ,97,True,True,55,55,True,True,False,False,True,True,
Average NJ,98,True,True,55,55,True,True,False,False,True,True,
Average NJ,99,True,True,55,55,True,True,False,False,True,True,
Average NJ,100,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,1,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,2,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,3,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,4,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,5,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,6,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,7,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,8,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,9,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,10,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,11,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,12,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,13,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,14,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,15,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,16,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,17,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,18,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,19,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,20,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,21,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,22,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,23,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,24,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,25,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,26,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,27,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,28,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,29,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,30,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,31,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,32,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,33,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,34,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,35,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,36,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,37,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,38,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,39,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,40,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,41,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,42,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,43,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,44,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,45,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,46,True,True,55,55,True,True,False,False,True,True,
